,Overseas,Known Local,Unknown Local,Under investigation
06/03,1,0,0,0
07/03,1,0,0,0
08/03,3,0,0,0
09/03,3,1,0,0
10/03,6,1,0,0
11/03,5,1,0,0
12/03,7,1,0,0
13/03,20,4,0,0
14/03,7,1,1,0
15/03,2,0,0,0
16/03,15,9,0,0
17/03,22,2,0,0
18/03,13,5,0,0
19/03,13,8,1,0
20/03,68,15,2,0
21/03,14,10,1,0
22/03,34,8,2,0
23/03,65,29,2,0
24/03,60,21,4,0
25/03,46,15,5,1
26/03,36,21,7,0
27/03,54,30,2,0
28/03,35,33,9,0
29/03,20,24,4,0
30/03,22,21,4,0
31/03,28,39,15,0
01/04,17,27,10,0
02/04,17,29,12,0
03/04,6,12,6,0
04/04,7,19,7,0
05/04,3,4,2,1
06/04,9,7,5,0
07/04,8,6,10,1
08/04,6,12,1,2
09/04,6,10,1,5
